[0.00 - 2.00]  aquí
[4.52 - 10.80]  bueno esas preguntas son del tema de mi tesis que va relacionado, ya lo hemos hablado mil veces, que
[10.80 - 16.96]  el mercado del carbono y comunidades rurales para ser más específico
[16.96 - 23.12]  y bueno el sentido de entrevistarte a ti es porque eres experto en temas de
[23.12 - 33.68]  sostenibilidad entonces vamos a dentro ya en cuanto al marco general
[35.28 - 41.60]  cómo describirías tú el estado actual del mercado de bonos del carbono en chile en comparación con
[41.60 - 50.96]  otros países ya sean de latinoamérica o del resto del mundo en este sentido yo considero que estamos
[51.04 - 58.24]  en una etapa de desarrollo yo creo que podemos definir el desarrollo en dos partes estamos en
[58.24 - 66.88]  la primera estamos recién transicionando hacia un mercado de bonos de carbono en chile imagínate
[66.88 - 71.92]  que estamos el ministerio de medio ambiente de desarrollo hace poco un plan de compensaciones
[71.92 - 80.44]  pero hablando y refiriéndose principalmente a los bonos de carbono en el mercado voluntario
[81.12 - 92.56]  entonces la normativa que van a regir todo esto no está muy clara la ruta está explicada en grosso modo
[92.56 - 101.84]  entonces estamos avanzando pero aún el de brasil tiene un mercado de bonos un poco más desarrollado
[101.84 - 108.12]  y para qué hablar del resto del mundo de eeuu y europa tienen un mercado super avanzado super
[108.12 - 111.68]  maduro porque también tienen un mercado obligatorio entonces tienen las reglas del juego
[111.68 - 116.76]  trazadas para obligatorio y el resto ya en lo voluntario
[119.04 - 127.88]  ya perfecto a tu juicio cuáles son los principales desafíos regulatorios regulatorios y operativos
[127.88 - 133.00]  que enfrenta chile para ir consolidando ya este mercado voluntario
[133.80 - 141.96]  el regulatorio es que hay que crear la desafío el principal es crear la regulación que
[141.96 - 146.36]  acompañe este plan de compensaciones que hayan
[149.84 - 154.60]  yo creo que uno de los más de los otros desafíos grandes también va a ser que haya homogeneidad
[154.60 - 163.36]  entre la regulación local y esta especie de certificación estatal que le vamos a dar a
[163.36 - 170.52]  ciertos predios para compensar emisiones o a ciertos proyectos con aquellos estándares
[170.52 - 175.88]  internacionales porque si no vamos a tener una vamos a tener tremendo problema en exportar
[175.88 - 181.60]  nuestros bonos y nuestro marco local de certificación de bonos de carbono va a ser totalmente
[181.60 - 187.60]  alejado a lo que están los otros las certificadoras internacionales ni siquiera los otros entes
[187.60 - 192.60]  locales va a ser súper difícil de exportarlo porque vamos a tener que operar dentro del
[192.60 - 195.60]  mismo medio ambiente chileno
[199.60 - 207.60]  otro ítem que es el impacto socio-ambiental de esto la pregunta es qué tipo de beneficios
[207.60 - 214.60]  tangibles ves ha visto todo que han recibido las comunidades rurales en chile referente a los
[214.60 - 221.60]  proyectos de bonos mira yo no he visto muchos ejemplos claro ya así que ahí está estoy el
[221.60 - 227.60]  debe con con ejemplos específicos hace tiempo vi uno en el sur de por ahí por caldivia en el que se
[227.60 - 232.60]  estaba gestionando un bono de carbono a un proyecto para generar bonos de carbono y bueno
[232.60 - 237.60]  y en adelante estuve viendo uno de la patagonia pero no tengo mucho detalle entonces yo sé que
[237.60 - 245.60]  existen ejemplos pero beneficios tangibles y aquí voy a hacer voy a asumir es que sea retribuido a la
[245.60 - 253.60]  comunidad lo que sí sé de lo que estoy seguro es que se generan empleos por la parte económica
[253.60 - 259.60]  y por lo que yo sé que hay que tener un buen ejemplo de beneficios tangibles y que se ha
